Тема,Ключ проблемы,Идентификатор проблемы,Тип задачи,Статус,Ключ проекта,Название проекта,Приоритет,Исполнитель,Автор,Создатель,Создано,Обновленo,Дата решения,Описание,Затраченное время,Суммарное затраченое время,Пользовательское поле (В статусе),Пользовательское поле (Время реализации),Пользовательское поле (Категория статуса),Пользовательское поле (Последний спринт),Комментарий
Интеграция с новой системой отчетности,PLATFORM-1010,ID-5010,Story,Blocked,PLATFORM,Platform Core,Low,dev_csharp,team_lead,pm_user,2024-10-02 09:25:47,2024-10-12 09:25:47,2024-10-12 09:25:47,Generated description for task 10,54000,54000,Blocked,86400,New,Sprint 2,Autogenerated comment 10
Добавление поддержки новых типов аутентификации,AUTOMATION-1011,ID-5011,Story,Done,AUTOMATION,QA Automation,Low,dev_csharp,team_lead,pm_user,2025-01-31 13:06:29,2025-02-06 13:06:29,2025-02-08 13:06:29,Generated description for task 11,18000,25200,Done,115200,New,Sprint 2,Autogenerated comment 11
Реализация механизма автообновления конфигураций,INFRA-1012,ID-5012,Story,In Progress,INFRA,Infrastructure Services,Low,dev_csharp,team_lead,pm_user,2025-01-20 12:05:56,2025-01-25 12:05:56,2025-01-27 12:05:56,Generated description for task 12,46800,61200,In Progress,57600,In Progress,Sprint 2,Autogenerated comment 12
Настройка пайплайна CI/CD для платформенных сервисов,INFRA-1013,ID-5013,Task,Code Review,INFRA,Infrastructure Services,Low,dev_csharp,team_lead,pm_user,2024-12-01 23:12:36,2024-12-03 23:12:36,,Generated description for task 13,46800,57600,Code Review,144000,New,Sprint 2,Autogenerated comment 13
Оптимизация процесса сборки проекта,INFRA-1014,ID-5014,Improvement,Done,INFRA,Infrastructure Services,Medium,dev_csharp,team_lead,pm_user,2024-12-15 20:11:25,2024-12-23 20:11:25,2024-12-28 20:11:25,Generated description for task 14,21600,28800,Done,144000,Completed,Sprint 1,Autogenerated comment 14
Обновление зависимостей проекта,INFRA-1015,ID-5015,Task,In Progress,INFRA,Infrastructure Services,High,dev_csharp,team_lead,pm_user,2024-01-05 10:01:29,2024-01-12 10:01:29,2024-01-15 10:01:29,Generated description for task 15,3600,10800,In Progress,28800,Completed,Sprint 4,Autogenerated comment 15
Документирование внутренних API,AUTOMATION-1016,ID-5016,Task,Code Review,AUTOMATION,QA Automation,Medium,dev_csharp,team_lead,pm_user,2024-03-22 14:30:55,2024-03-28 14:30:55,2024-03-31 14:30:55,Generated description for task 16,54000,64800,Code Review,115200,Completed,Sprint 1,Autogenerated comment 16
Документирование внутренних API,PLATFORM-1017,ID-5017,Task,Blocked,PLATFORM,Platform Core,Low,dev_csharp,team_lead,pm_user,2025-01-18 10:43:03,2025-01-25 10:43:03,,Generated description for task 17,18000,28800,Blocked,144000,In Progress,Sprint 4,Autogenerated comment 17
Улучшение логирования операций системы,AUTOMATION-1018,ID-5018,Improvement,Done,AUTOMATION,QA Automation,High,dev_csharp,team_lead,pm_user,2024-06-12 13:15:55,2024-06-16 13:15:55,,Generated description for task 18,7200,14400,Done,144000,New,Sprint 1,Autogenerated comment 18
Проблема с сериализацией объектов в API,AUTOMATION-1019,ID-5019,Bug,Done,AUTOMATION,QA Automation,High,dev_csharp,team_lead,pm_user,2025-01-10 18:03:51,2025-01-20 18:03:51,2025-01-21 18:03:51,Generated description for task 19,14400,28800,Done,115200,In Progress,Sprint 2,Autogenerated comment 19
Обновление зависимостей проекта,AUTOMATION-1020,ID-5020,Task,Done,AUTOMATION,QA Automation,Critical,dev_csharp,team_lead,pm_user,2024-06-04 16:05:32,2024-06-08 16:05:32,,Generated description for task 20,46800,54000,Done,115200,New,Sprint 2,Autogenerated comment 20
Неверная интерпретация формата имени пакета,INFRA-1021,ID-5021,Bug,Code Review,INFRA,Infrastructure Services,High,dev_csharp,team_lead,pm_user,2024-05-13 11:29:46,2024-05-15 11:29:46,,Generated description for task 21,3600,18000,Code Review,115200,Completed,Sprint 3,Autogenerated comment 21
Добавление поддержки новых типов аутентификации,AUTOMATION-1022,ID-5022,Story,Code Review,AUTOMATION,QA Automation,Critical,dev_csharp,team_lead,pm_user,2024-01-07 17:32:55,2024-01-07 17:32:55,2024-01-11 17:32:55,Generated description for task 22,39600,54000,Code Review,115200,In Progress,Sprint 1,Autogenerated comment 22
Создание модуля мониторинга состояния сервисов,AUTOMATION-1023,ID-5023,Story,Done,AUTOMATION,QA Automation,Critical,dev_csharp,team_lead,pm_user,2024-02-19 21:27:53,2024-02-26 21:27:53,2024-02-28 21:27:53,Generated description for task 23,50400,54000,Done,115200,New,Sprint 3,Autogenerated comment 23
Создание модуля мониторинга состояния сервисов,PLATFORM-1024,ID-5024,Story,To Do,PLATFORM,Platform Core,High,dev_csharp,team_lead,pm_user,2024-12-29 02:42:27,2025-01-03 02:42:27,,Generated description for task 24,21600,25200,To Do,28800,In Progress,Sprint 3,Autogenerated comment 24
Сбой авторизации через внутренний сервис,PLATFORM-1025,ID-5025,Bug,Code Review,PLATFORM,Platform Core,Medium,dev_csharp,team_lead,pm_user,2025-03-19 06:53:47,2025-03-29 06:53:47,2025-04-01 06:53:47,Generated description for task 25,54000,61200,Code Review,86400,Completed,Sprint 3,Autogenerated comment 25
Интеграция с новой системой отчетности,AUTOMATION-1026,ID-5026,Story,Done,AUTOMATION,QA Automation,Medium,dev_csharp,team_lead,pm_user,2024-04-19 20:15:59,2024-04-23 20:15:59,,Generated description for task 26,7200,7200,Done,115200,In Progress,Sprint 3,Autogenerated comment 26
Ошибка обработки данных в модуле синхронизации,INFRA-1027,ID-5027,Bug,To Do,INFRA,Infrastructure Services,Critical,dev_csharp,team_lead,pm_user,2024-11-10 05:30:09,2024-11-10 05:30:09,,Generated description for task 27,39600,46800,To Do,28800,New,Sprint 2,Autogenerated comment 27
Повышение производительности сервиса авторизации,AUTOMATION-1028,ID-5028,Improvement,To Do,AUTOMATION,QA Automation,Low,dev_csharp,team_lead,pm_user,2024-12-27 02:49:37,2025-01-03 02:49:37,,Generated description for task 28,39600,46800,To Do,115200,New,Sprint 3,Autogenerated comment 28
Создание модуля мониторинга состояния сервисов,AUTOMATION-1029,ID-5029,Story,In Progress,AUTOMATION,QA Automation,High,dev_csharp,team_lead,pm_user,2024-01-09 10:34:58,2024-01-17 10:34:58,2024-01-20 10:34:58,Generated description for task 29,43200,43200,In Progress,28800,Completed,Sprint 1,Autogenerated comment 29
